row_num,chain,project,symbol,rewardTokens,pool,stablecoin,ilRisk,exposure,poolMeta,underlyingTokens
6631,Polygon,uniswap-v3,WMATIC-EP,None,60c7b612-0f7e-4a1d-8913-4a466f1f4b25,FALSE,yes,multi,"0.3%, stablePool=false","0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270, 0x60ed6acef3a96f8cdaf0c0d207bbafa66e751af2"
6632,Ethereum,harvest-finance,CVX-ETH,None,93f53138-0f8b-4592-aa57-03c2d60234f9,FALSE,yes,multi,,None
6633,Avalanche,pangolin,JEWEL-WAVAX,,bc43d5c9-487e-41e1-aa96-e4346c7f08e7,FALSE,yes,multi,,"0x4f60a160d8c2dddaafe16fcc57566db84d674bd6, 0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7"
6634,Polygon,quickswap-dex,USDC-LAY,None,a7b39f53-4773-4781-9e85-c8910fcbeb3c,FALSE,yes,multi,,"0x2791bca1f2de4661ed88a30c99a7a9449aa84174, 0x53d9006010ce785bae94555e07d5268480b5c371"
6635,Klaytn,kokoa-finance,OWBTC,0xb15183d0d4d5e86ba702ce9bb7b633376e7db29f,82ca08b7-34ed-4c39-9e3e-0ce9f603cb72,FALSE,no,single,,None
6636,Polygon,meshswap,OXRP-OMATIC,0x82362Ec182Db3Cf7829014Bc61E9BE8a2E82868a,f997a2a1-6bb7-41d6-b6c6-02e4e710ea19,FALSE,yes,multi,,"0xcc2a9051e904916047c26c90f41c000d4f273456, 0x3f364853f01d32d581fc9734110b21c77aeea024"
6637,Polygon,vesper,DAI,,531da915-1263-4f3e-b54e-54edae994fa2,TRUE,no,single,Conservative,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063
6638,Ethereum,sushiswap,VRN-WETH,,c8de3fe8-547a-4454-85ce-81516e1b77f8,FALSE,yes,multi,,"0x72377f31e30a405282b522d588aebbea202b4f23, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
6639,Ethereum,sushiswap,STKXPRT-WETH,,3379ccff-cb49-4218-8f93-264faefa6e6c,FALSE,yes,multi,,"0x45e007750cc74b1d2b4dd7072230278d9602c499, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
6640,Solana,orca,SLCL-USDC,,3b683720-b724-47ba-b63e-9b3be742a313,FALSE,yes,multi,Whirlpool,"SLCLww7nc1PD2gQPQdGayHviVVcpMthnqUz2iWKhNQV, EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v"
6641,Polygon,aave-v3,DPI,None,59447a2f-7c4d-433a-a84b-ac6e53986680,FALSE,no,single,,0x85955046df4668e1dd369d2de9f3aeb98dd2a369
6642,Ethereum,sushiswap,XYO-WETH,,96ff05c2-6841-4316-bf28-3a7f38c669d4,FALSE,yes,multi,,"0x55296f69f40ea6d20e478533c15a6b08b654e758, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
6643,BSC,biswap,AXS-WBNB,0x965f527d9159dce6288a2219db51fc6eef120dd1,d277cab1-9b46-4ea4-8d0b-20a6d1b1b025,FALSE,yes,multi,,"0x715D400F88C167884bbCc41C5FeA407ed4D2f8A0, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c"
6644,Ethereum,uniswap-v3,ELFI-DAI,None,0dc721ba-2041-4ed9-815b-61d1493bbaf8,FALSE,yes,multi,0.30%,"0x4da34f8264cb33a5c9f17081b9ef5ff6091116f4, 0x6b175474e89094c44da98b954eedeac495271d0f"
6645,Ethereum,uniswap-v3,JUSTICE-WETH,None,345d5f7d-742e-4016-af91-a67e46cba9c0,FALSE,yes,multi,1%,"0x59d1e836f7b7210a978b25a855085cc46fd090b5, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
6646,Polygon,mm-finance-polygon,STMATIC-LDO,0x22a31bD4cB694433B6de19e0aCC2899E553e9481,427abfa2-305f-4136-90c5-5400298f5156,FALSE,yes,multi,,"0x3A58a54C066FdC0f2D55FC9C89F0415C92eBf3C4, 0xC3C7d422809852031b44ab29EEC9F1EfF2A58756"
6647,Ethereum,uniswap-v3,USDC-STG,None,218822d0-be84-425d-9343-80276d0e88d5,FALSE,yes,multi,0.30%,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, 0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6"
6648,Polygon,quickswap-dex,WETH-TIME,None,343bf835-765f-446c-bdba-12b6c4bd9d96,FALSE,yes,multi,,"0x7ceb23fd6bc0add59e62ac25578270cff1b9f619, 0xb970bc1bd4fcd639c37aa8efd6713eadc577252f"
6649,Ethereum,uniswap-v2,DINERO-WETH,None,89a558f8-0e35-41bd-9f17-974f94d5321d,FALSE,yes,multi,,"0xa3ad8c7ab6b731045b5b16e3fdf77975c71abe79, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
6650,Polygon,meshswap,OETH-OWBTC,0x82362Ec182Db3Cf7829014Bc61E9BE8a2E82868a,90a03c7e-8789-4ec4-9deb-29cea9a0d3ef,FALSE,yes,multi,,"0xe4c2b5db9de5da0a17ed7ec7176602ad99e52624, 0xe631ffaa2cf4d91aac3e9589a5d5b390c82a032e"
6651,Heco,mdex,MDX-HLTC,0x9c65ab58d8d978db963e63f2bfb7121627e3a739,d425e30d-1455-406f-a537-689e783f4a1e,FALSE,yes,multi,,"0x25d2e80cb6b86881fd7e07dd263fb79f4abe033c, 0xecb56cf772b5c9a6907fb7d32387da2fcbfb63b4"
6652,Ethereum,uniswap-v3,WETH-HOP,None,24db2876-8a49-4d44-9c68-2282e03d6c71,FALSE,yes,multi,1%,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, 0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc"
6653,Arbitrum,gamma,WBTC-WETH,,1151c47a-5cf3-424b-bfc4-f68ce77b2b52,FALSE,yes,multi,0.30%,"0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f, 0x82af49447d8a07e3bd95bd0d56f35241523fbab1"
6654,Polygon,meshswap,WMATIC-OGHUB,0x82362Ec182Db3Cf7829014Bc61E9BE8a2E82868a,aa49e335-e515-4428-83b0-a58b5788bb9c,FALSE,yes,multi,,"0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270, 0xbdccf75601e8b11e1b11a99f9f846a036532b898"
6655,BSC,magik-farm,EMP-ETH,None,afea9530-6b01-4c2d-8b88-55a8ed8528a1,FALSE,yes,multi,,None
6656,Ethereum,damm-finance,AUSDT,None,133e3907-864d-4fd9-a9ae-5c0ae1f0a507,TRUE,no,single,,0x3Ed3B47Dd13EC9a98b44e6204A523E766B225811
6657,Ethereum,sushiswap,WETH-SDL,,7c8e34c2-0824-4d19-9d15-7e30e42a39d3,FALSE,yes,multi,,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, 0xf1dc500fde233a4055e25e5bbf516372bc4f6871"
6658,Ethereum,uniswap-v3,BUMP-WETH,None,1472cf44-fb9a-4455-8d64-5754fcb2a406,FALSE,yes,multi,1%,"0x785c34312dfa6b74f6f1829f79ade39042222168, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
6659,Polygon,meshswap,WMATIC-OMOOI,0x82362Ec182Db3Cf7829014Bc61E9BE8a2E82868a,12821a8e-6eee-4000-b495-ac17c1bcf77f,FALSE,yes,multi,,"0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270, 0x746351ab4b9d4f802b7b770f33184d0a6b17363d"
6660,Ethereum,uniswap-v3,SUSD-USDC,None,a4e10d14-2601-46f0-8356-252e60c28c76,TRUE,no,multi,0.05%,"0x57ab1ec28d129707052df4df418d58a2d46d5f51, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"
6661,Osmosis,osmosis-dex,REGEN-ATOM,OSMO,f4dacec0-4f68-41bf-a90b-889e4eaebdee,FALSE,yes,multi,14day,None
6662,Polygon,allbridge,USDC,None,b3bf58b6-ecd4-412f-96b6-6e8fa9e7ceae,TRUE,no,single,,None
6663,Ethereum,balancer,EPYVUSDC-28JAN22-USDC,None,b33d6d0a-3756-40dd-b366-ac29e814dc10,FALSE,yes,multi,,"0x8a2228705ec979961f0e16df311debcf097a2766, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"
6664,BSC,beefy,ETH,None,040aa2e6-372b-482c-98c1-7ad0feb2fa38,FALSE,no,single,Valas,None
6665,BSC,autofarm,BUSD-AUTO,None,abd91b03-9e1e-4456-ab8a-073fe1d2ba6c,FALSE,yes,multi,MDEX,0x8fe32329C4dbE8d29B9c8874Ef0F52CcD8c7D3F0
6666,Aurora,trisolaris,AURORA-TRI,0xFa94348467f64D5A457F75F8bc40495D33c65aBB,c58d3242-7cdf-415b-a0df-015a5acd2e79,FALSE,yes,multi,,"0x8BEc47865aDe3B172A928df8f990Bc7f2A3b9f79, 0xFa94348467f64D5A457F75F8bc40495D33c65aBB"
6667,Polygon,uniswap-v3,USDC-JEUR,None,ef6de804-7b9a-43f9-a58f-0b7e03d6730f,TRUE,yes,multi,0.30%,"0x2791bca1f2de4661ed88a30c99a7a9449aa84174, 0x4e3decbb3645551b8a19f0ea1678079fcb33fb4c"
6668,Ethereum,shipyard-finance,ETH-FIDU,None,4045cee0-2bc3-4b7b-ab33-28be7e1077ba,FALSE,yes,multi,Curve,None
6669,Polygon,quickswap-dex,SAFLE-USDT,None,5700430e-8296-430f-b6f5-2a6f0fb1b2fd,FALSE,yes,multi,,"0x04b33078ea1aef29bf3fb29c6ab7b200c58ea126, 0xc2132d05d31c914a87c6611c10748aeb04b58e8f"
6670,Arbitrum,uniswap-v3,BRCF-USDC,None,614cb462-d647-4908-9001-f1c861f10f79,FALSE,yes,multi,"1%, stablePool=false","0xdf6b7b551a09ddb8d879165b870e6085db027036, 0xff970a61a04b1ca14834a43f5de4533ebddb5cc8"
6671,Arbitrum,beefy,ETH-USDC,None,003999c0-d581-4b18-94e0-3c7ea3419681,FALSE,yes,multi,Swapfish,None
6672,Polygon,uniswap-v3,USDC-CGG,None,8564e0bb-1675-4b6b-8f51-7ae6ad9d7ab8,FALSE,yes,multi,0.30%,"0x2791bca1f2de4661ed88a30c99a7a9449aa84174, 0x2ab4f9ac80f33071211729e45cfc346c1f8446d5"
6673,Ethereum,pickle,SUSHI-WETH,None,fb68a23a-6d57-4a56-9372-a1c8962f6a28,FALSE,yes,multi,,None
6674,Arbitrum,beefy,WSTETH-USDC,None,c35cfa1c-dbd1-42a5-8255-c8b67541a532,FALSE,yes,multi,Balancer,None
6675,Polygon,sushiswap,USDC-PUSD,,fd562821-ac9f-4db9-9414-53b23e734232,TRUE,no,multi,,"0x2791bca1f2de4661ed88a30c99a7a9449aa84174, 0x9af3b7dc29d3c4b1a5731408b6a9656fa7ac3b72"
6676,Mixin,pando-leaf,DOGE,None,7819078a-d68f-4cd1-933b-f50efd69dadb,FALSE,no,single,,None
6677,Polygon,uniswap-v3,PKTK-USDT,None,b7f763fc-6a3d-4974-80c9-3f88fa1ba212,FALSE,yes,multi,0.30%,"0x55bb4d4b4545a886df159354e5fa5791c2d13496, 0xc2132d05d31c914a87c6611c10748aeb04b58e8f"
6678,Ethereum,convex-finance,USDK-3CRV,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b",d2d3adb4-7a5a-460b-8ab4-7ffe8a19cae0,TRUE,no,multi,,"0x1c48f86ae57291F7686349F12601910BD8D470bb, 0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490"
6679,Avalanche,trader-joe-dex,MUMO-USDC,,21424c8b-f7d9-4fde-a577-9fc330e0737a,FALSE,yes,multi,,"0x875e3352baae84c38d930dd7fd796178b2fcaa05, 0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e"
6680,BSC,beefy,XRP-BNB,None,02c4d798-cf7c-4719-960f-6067bf11d692,FALSE,yes,multi,Biswap,None
6681,Polygon,uniswap-v3,USDC-XDAO,None,08ccef7e-c06d-4274-a43f-4e5fd35853ba,FALSE,yes,multi,0.01%,"0x2791bca1f2de4661ed88a30c99a7a9449aa84174, 0x71eeba415a523f5c952cc2f06361d5443545ad28"
6682,Ethereum,pickle,PICKLE-WETH,None,860bfc59-919a-485a-9eb4-e1fe4d7d9fee,FALSE,yes,multi,,None
6683,Ethereum,uniswap-v3,WETH-ACH,None,aa425b6d-15c6-44e3-a141-2f099ce390f8,FALSE,yes,multi,1%,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, 0xed04915c23f00a313a544955524eb7dbd823143d"
6684,Optimism,uniswap-v3,SNX-SUSD,None,cf8b3b92-4e12-45dd-be58-58c126b7a805,FALSE,yes,multi,1%,"0x8700daec35af8ff88c16bdf0418774cb3d7599b4, 0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9"
6685,Avalanche,pangolin,BRZ-USDC,,e9360ea7-a87d-4c87-be1a-92efc790ef51,FALSE,yes,multi,,"0x491a4eb4f1fc3bff8e1d2fc856a6a46663ad556f, 0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e"
6686,BSC,o3-swap,O3,0xee9801669c6138e84bd50deb500827b776777d28,0adfbdcc-a160-46e7-b816-331ba01bbbd0,FALSE,no,single,,"0xee9801669c6138e84bd50deb500827b776777d28, 0xd5ca47bf3e075b5446401a56d04492425e798e82"
6687,Ethereum,uniswap-v3,GOHM-USDC,None,e2d8e7ae-e78a-4cd9-9a94-c01ee626663e,FALSE,yes,multi,0.30%,"0x0ab87046fbb341d058f17cbc4c1133f25a20a52f, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"
6688,BSC,bolide,BUSD,None,dba42a88-8f2d-4a90-ad01-5a0517c731b1,TRUE,no,single,,None
6689,Polygon,uniswap-v3,WMATIC-GNS,None,be9d8e7f-6075-463d-823d-afe69370a9ed,FALSE,yes,multi,1%,"0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270, 0xe5417af564e4bfda1c483642db72007871397896"
6690,Polygon,quickswap-dex,ACRE-WMATIC,None,db20af36-900a-4f7f-a4ab-751af31df108,FALSE,yes,multi,,"0x011734f6ed20e8d011d85cf7894814b897420acf, 0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270"
6691,Avalanche,trader-joe-dex,BIOFI-WAVAX,,5cdbc087-f124-488f-bcda-358194662173,FALSE,yes,multi,,"0x9366d30feba284e62900f6295bc28c9906f33172, 0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7"
