protocol_slug,protocol_id,size_mb,status_code,error,retries
liqee,573,0.62,200,,0
fuzz-finance,574,1.14,200,,0
coinswap-space,575,1.18,200,,0
lunos,576,1.35,200,,0
allbridge-classic,577,7.48,200,,0
the-dragons-lair,578,1.56,200,,0
itrust-finance,579,0.8,200,,0
sashimiswap,580,5.89,200,,0
morpheus-swap,581,1.22,200,,0
ante-finance,582,1.32,200,,0
1swap,584,0.72,200,,0
popsicle-finance,585,2.98,200,,0
tidal-finance,586,0.8,200,,0
maple,587,1.62,200,,0
mobius-money,588,1.23,200,,0
strike,589,3.1,200,,0
parrot-defi,590,4.76,200,,0
multichain,591,27.97,200,,0
defi-yield-protocol,592,3.04,200,,0
tranche-finance,593,2.08,200,,0
defirex,594,0.65,200,,0
convergence,595,0.82,200,,0
flux-protocol,596,2.35,200,,0
babyswap,597,3.81,200,,0
shapeshift,598,1.05,200,,0
cub-finance,599,2.07,200,,0
value-liquid,600,1.79,200,,0
warp-protocol,601,0.67,200,,0
bakeryswap,602,13.62,200,,0
sherlock,604,0.37,200,,0
telos-swap,605,0.35,200,,0
rocketswap,606,0.2,200,,0
hundred-finance,607,8.74,200,,0
cap,608,0.82,200,,0
banano,609,1.26,200,,0
ecurve,610,0.11,200,,0
neutrino,611,0.55,200,,0
vires-finance,612,1.18,200,,0
swop,613,0.98,200,,0
bnbminer-finance,615,0.34,200,,0
amy-finance,616,0.24,200,,0
bogged-finance,617,0.92,200,,0
kava-swap,618,1.38,200,,0
vee-finance,619,1.48,200,,0
francium,620,0.13,200,,0
trava-finance,621,1.84,200,,0
clipper,622,2.92,200,,0
composable-finance,623,1.06,200,,0
paladin-vote,624,0.56,200,,0
arbis-finance,625,1.07,200,,0
reserve-protocol,626,2.6,200,,0
balmy,627,11.39,200,,0
float,628,0.68,200,,0
cozy-v1,629,1.24,200,,0
huckleberry-amm,630,1.75,200,,0
beanstalk,631,1.07,200,,0
foxswap,632,1.65,200,,0
totemfi,633,0.19,200,,0
singular-farm,634,5.76,200,,0
blizzard,635,0.33,200,,0
keep3r-network,636,2.25,200,,0
sync-network,637,1.11,200,,0
meso-finance-fantom-farm,638,2.34,200,,0
enterdao,639,1.59,200,,0
kingdefi,640,2.44,200,,0
arrakis-v1,641,6.68,200,,0
bumper-finance,642,1.13,200,,0
geist-finance,643,2.11,200,,0
padswap,644,2.47,200,,0
latteswap,645,1.49,200,,0
unifi,646,4.46,200,,0
jet-v1,647,1.19,200,,0
alkemi,648,0.59,200,,0
swapmatic,649,0.34,200,,0
augmented-finance,650,4.89,200,,0
chfry-finance,651,0.55,200,,0
emiswap,652,3.05,200,,0
atrix,653,2.2,200,,0
beets-dex,654,9.14,200,,0
almond,655,0.11,200,,0
sapphire-defi,656,1.85,200,,0
synapse,657,8.19,200,,0
only1,658,0.64,200,,0
jetswap,659,6.73,200,,0
stryke-ssov,660,1.14,200,,0
mochifi,661,1.39,200,,0
artemis-protocol,662,1.24,200,,0
pods-finance,663,1.37,200,,0
oakfarm,664,0.83,200,,0
multi-chain-miner,665,1.33,200,,0
orcadao,666,2.77,200,,0
mars-ecosystem,667,1.71,200,,0
shield,669,0.36,200,,0
carbonswap,670,0.37,200,,0
fodl-finance,671,1.73,200,,0
fegex,672,0.68,200,,0
aavegotchi,673,2.61,200,,0
rskswap,674,0.5,200,,0
dark-matter,675,2.42,200,,0
phoenix-finance,676,0.53,200,,0
borgswap,677,5.91,200,,0
jswap,678,0.85,200,,0
unifarm,679,8.41,200,,0
tinyman,680,0.39,200,,0
oraichain,681,1.0,200,,0
bacondao,682,1.68,200,,0
goswap,683,0.45,200,,0
hpdex,684,0.35,200,,0
tesseract,685,0.72,200,,0
yel-finance,686,3.3,200,,0
jaguarswap,687,1.0,200,,0
halodao,688,1.33,200,,0
kalata,689,1.32,200,,0
sunswap-v1,690,0.54,200,,0
juststables,691,0.57,200,,0
hurricaneswap,692,1.42,200,,0
superfluid,693,6.7,200,,0
justcryptos,694,0.13,200,,0
dinosaur-eggs,695,2.32,200,,0
agave,696,2.6,200,,0
cook-finance,697,6.32,200,,0
polly-finance,699,2.6,200,,0
poof-cash,700,0.52,200,,0
behodler,701,0.76,200,,0
coffin-finance,702,0.89,200,,0
goldfinch,703,0.82,200,,0
chainge-finance,704,0.22,200,,0
ttswap,705,0.63,200,,0
ysl.io,706,0.71,200,,0
luaswap,707,1.28,200,,0
pstake-lsd,709,0.63,200,,0
squid-defi,710,1.49,200,,0
polymarket,711,0.4,200,,0
kaidex,712,0.66,200,,0
polkaswap,713,0.34,200,,0
voltage-amm,714,1.24,200,,0
smartcoin,715,0.67,200,,0
billion-happiness,716,1.34,200,,0
decubate,717,0.64,200,,0
alium-swap,718,1.43,200,,0
universe-finance,719,1.11,200,,0
nasdex,720,1.06,200,,0
mycelium-perpetual-pools,721,0.39,200,,0
summit-defi,722,2.24,200,,0
potluck-protocol,723,1.64,200,,0
handle.fi,724,0.81,200,,0
bishares,725,4.21,200,,0
solo-top,726,0.94,200,,0
scarecrow-finance,727,2.5,200,,0
defiplaza,728,2.44,200,,0
anchorswap,729,1.56,200,,0
exodia,730,0.82,200,,0
synthetify,731,0.87,200,,0
bouje-finance,732,1.19,200,,0
stabilize,733,1.3,200,,0
openswap,734,0.88,200,,0
becoswap,735,1.17,200,,0
asol,736,0.41,200,,0
dino.exchange,737,0.94,200,,0
defi-halal,738,0.37,200,,0
aldrin,739,3.21,200,,0
elephantdex,740,1.11,200,,0
vaulty-finance,741,0.68,200,,0
furucombo,742,0.5,200,,0
neku,743,0.76,200,,0
tranquil-finance,744,5.3,200,,0
atlantis-loans,745,2.65,200,,0
nileriver,746,0.13,200,,0
muesliswap,747,1.07,200,,0
mistswap,748,0.97,200,,0
benswap,749,1.74,200,,0
fractional-art,750,1.69,200,,0
umami-finance,751,1.01,200,,0
nexus-protocol,752,0.23,200,,0
realt-tokens,753,0.38,200,,1
bossswap,754,0.66,200,,0
arrow,755,0.94,200,,0
angle,756,3.05,200,,0
brahma-vaults-(sunset),757,0.7,200,,1
spartacus,758,0.5,200,,0
eggtartswap,759,0.42,200,,0
apricot-finance,780,1.19,200,,0
klimadao,781,0.75,200,,0
polywhale-finance,782,1.08,200,,0
atmossoft,783,0.83,200,,0
trisolaris,784,1.49,200,,0
lootswap,785,1.1,200,,0
bagels-finance,786,0.85,200,,0
squid-stake,787,1.42,200,,0
